experiment,round,test_acc,train_loss
GlobSage,5,0.572,1.8377
GlobSage,10,0.5849,1.6365
GlobSage,15,0.6365,1.4114
GlobSage,20,0.7048,1.1887
GlobSage,25,0.7878,0.9833
GlobSage,30,0.8284,0.7966
GlobSage,35,0.8561,0.6479
GlobSage,40,0.8653,0.5212
GlobSage,45,0.8653,0.4252
GlobSage,50,0.8672,0.3515
GlobSage,55,0.869,0.3102
GlobSage,60,0.8708,0.2553
GlobSage,65,0.869,0.2335
GlobSage,70,0.8708,0.2073
GlobSage,75,0.8727,0.1816
GlobSage,80,0.8782,0.1579
GlobSage,85,0.8801,0.1441
GlobSage,90,0.8819,0.1336
GlobSage,95,0.8819,0.1192
GlobSage,100,0.8838,0.1133
GlobSage,105,0.8838,0.1066
GlobSage,110,0.8838,0.0994
GlobSage,115,0.8838,0.0954
GlobSage,120,0.8838,0.0822
GlobSage,125,0.8819,0.0752
GlobSage,130,0.8819,0.0745
GlobSage,135,0.8838,0.0649
GlobSage,140,0.8856,0.0665
GlobSage,145,0.8856,0.0605
GlobSage,150,0.8856,0.0614
GlobSage,155,0.8893,0.0558
GlobSage,160,0.8893,0.0536
GlobSage,165,0.8893,0.0485
GlobSage,170,0.8893,0.0449
GlobSage,175,0.8893,0.043
GlobSage,180,0.8893,0.042
GlobSage,185,0.8875,0.0404
GlobSage,190,0.8875,0.0417
GlobSage,195,0.8875,0.0367
GlobSage,200,0.8856,0.0369
GlobSage,205,0.8856,0.0346
GlobSage,210,0.8875,0.0305
GlobSage,215,0.8911,0.0325
GlobSage,220,0.8893,0.0284
GlobSage,225,0.8875,0.0277
GlobSage,230,0.8875,0.0308
GlobSage,235,0.8875,0.0258
GlobSage,240,0.8875,0.0254
GlobSage,245,0.8875,0.0269
GlobSage,250,0.8893,0.0257
GlobSage,255,0.8893,0.0254
GlobSage,260,0.8875,0.0245
GlobSage,265,0.8893,0.0231
GlobSage,270,0.8893,0.0246
GlobSage,275,0.8893,0.02
GlobSage,280,0.8893,0.0208
GlobSage,285,0.8893,0.0215
GlobSage,290,0.8911,0.0202
GlobSage,295,0.8911,0.0227
GlobSage,300,0.8893,0.0186
FedSage,5,0.441,
FedSage,10,0.6052,
FedSage,15,0.7601,
FedSage,20,0.8358,
FedSage,25,0.8524,
FedSage,30,0.8598,
FedSage,35,0.8616,
FedSage,40,0.8616,
FedSage,45,0.869,
FedSage,50,0.8745,
FedSage,55,0.8764,
FedSage,60,0.8745,
FedSage,65,0.8764,
FedSage,70,0.8782,
FedSage,75,0.8856,
FedSage,80,0.8875,
FedSage,85,0.8856,
FedSage,90,0.8875,
FedSage,95,0.8838,
FedSage,100,0.8875,
FedSage+,5,0.3782,
FedSage+,10,0.5646,
FedSage+,15,0.7362,
FedSage+,20,0.8063,
FedSage+,25,0.8395,
FedSage+,30,0.8432,
FedSage+,35,0.845,
FedSage+,40,0.845,
FedSage+,45,0.8487,
FedSage+,50,0.8561,
FedSage+,55,0.8635,
FedSage+,60,0.8635,
FedSage+,65,0.8672,
FedSage+,70,0.869,
FedSage+,75,0.8708,
FedSage+,80,0.8672,
FedSage+,85,0.8616,
FedSage+,90,0.8672,
FedSage+,95,0.869,
FedSage+,100,0.8653,
